Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
192910063,QRV1,19125171,Medical Incident,2019-10-18,2019-10-17,10/18/2019 12:28:07 AM,10/18/2019 12:29:02 AM,10/18/2019 12:29:10 AM,10/18/2019 12:29:17 AM,10/18/2019 12:30:30 AM,null,null,Code 2 Transport,10/18/2019 12:45:59 AM,200 Block of GOLDEN GATE AVE,San Francisco,94102,B02,03,1546,3,3,3,true,Potentially Life-Threatening,1,SUPPORT,1,2,6,Tenderloin,POINT (-122.41428534642068 37.78186544733037),192910063-QRV1
192910064,72,19125172,Medical Incident,2019-10-18,2019-10-17,10/18/2019 12:28:20 AM,10/18/2019 12:29:35 AM,10/18/2019 12:30:27 AM,10/18/2019 12:30:34 AM,10/18/2019 12:39:11 AM,10/18/2019 12:54:32 AM,10/18/2019 01:11:13 AM,Code 2 Transport,10/18/2019 01:46:18 AM,700 Block of FONT BLVD,San Francisco,94132,B08,19,0868,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,8,7,Lakeshore,POINT (-122.48355146198237 37.72305838266758),192910064-72
192910064,E19,19125172,Medical Incident,2019-10-18,2019-10-17,10/18/2019 12:28:20 AM,10/18/2019 12:29:35 AM,10/18/2019 12:30:27 AM,10/18/2019 12:31:54 AM,10/18/2019 12:36:00 AM,null,null,Code 2 Transport,10/18/2019 01:14:22 AM,700 Block of FONT BLVD,San Francisco,94132,B08,19,0868,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,8,7,Lakeshore,POINT (-122.48355146198237 37.72305838266758),192910064-E19
192910070,95,19125173,Medical Incident,2019-10-18,2019-10-17,10/18/2019 12:32:25 AM,10/18/2019 12:32:25 AM,10/18/2019 12:32:36 AM,10/18/2019 12:33:03 AM,10/18/2019 12:41:27 AM,10/18/2019 12:56:36 AM,10/18/2019 01:02:59 AM,Code 2 Transport,10/18/2019 01:34:31 AM,2900 Block of SAN BRUNO AVE,San Francisco,94134,B10,44,6326,A,3,3,true,Potentially Life-Threatening,1,MEDIC,1,10,9,Portola,POINT (-122.40228864968611 37.72465237940485),192910070-95
192910070,E44,19125173,Medical Incident,2019-10-18,2019-10-17,10/18/2019 12:32:25 AM,10/18/2019 12:32:25 AM,10/18/2019 12:37:17 AM,10/18/2019 12:40:37 AM,null,null,null,Code 2 Transport,10/18/2019 12:42:11 AM,2900 Block of SAN BRUNO AVE,San Francisco,94134,B10,44,6326,A,3,3,true,Potentially Life-Threatening,1,ENGINE,2,10,9,Portola,POINT (-122.40228864968611 37.72465237940485),192910070-E44
192910125,54,19125174,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:08:27 AM,10/18/2019 01:10:18 AM,10/18/2019 01:10:52 AM,10/18/2019 01:11:04 AM,10/18/2019 01:17:50 AM,10/18/2019 01:45:26 AM,10/18/2019 01:50:46 AM,Code 2 Transport,10/18/2019 02:22:54 AM,1200 Block of MARKET ST,San Francisco,94103,B02,36,2317,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,6,South of Market,POINT (-122.41542910091165 37.778036510820826),192910125-54
192910130,75,19125175,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:11:51 AM,10/18/2019 01:12:53 AM,10/18/2019 01:13:09 AM,10/18/2019 01:13:15 AM,null,null,null,Cancelled,10/18/2019 01:16:54 AM,400 Block of MONTEREY BLVD,San Francisco,94112,B09,15,8221,E,E,3,true,Potentially Life-Threatening,1,MEDIC,1,9,7,West of Twin Peaks,POINT (-122.44544412061042 37.73146035984968),192910130-75
192910130,E26,19125175,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:11:51 AM,10/18/2019 01:12:53 AM,10/18/2019 01:13:09 AM,10/18/2019 01:15:07 AM,null,null,null,Cancelled,10/18/2019 01:16:54 AM,400 Block of MONTEREY BLVD,San Francisco,94112,B09,15,8221,E,E,3,true,Potentially Life-Threatening,1,ENGINE,2,9,7,West of Twin Peaks,POINT (-122.44544412061042 37.73146035984968),192910130-E26
172813828,T13,17118402,Alarms,2017-10-08,2017-10-08,10/08/2017 09:29:39 PM,10/08/2017 09:31:05 PM,10/08/2017 09:31:12 PM,null,null,null,null,Fire,10/08/2017 09:32:36 PM,600 Block of POWELL ST,San Francisco,94108,B01,02,1361,3,3,3,false,Alarm,1,TRUCK,3,1,3,Nob Hill,POINT (-122.408784626776 37.790494992376),172813828-T13
172611187,T05,17109812,Alarms,2017-09-18,2017-09-18,09/18/2017 09:57:35 AM,09/18/2017 09:58:54 AM,09/18/2017 09:59:37 AM,09/18/2017 10:00:33 AM,null,null,null,Fire,09/18/2017 10:05:42 AM,2600 Block of SCOTT ST,San Francisco,94123,B04,16,4122,3,3,3,false,Alarm,1,TRUCK,3,4,2,Pacific Heights,POINT (-122.440017653781 37.794114346677),172611187-T05
180330084,B04,18013820,Alarms,2018-02-02,2018-02-01,02/02/2018 12:33:20 AM,02/02/2018 12:35:26 AM,02/02/2018 12:35:40 AM,02/02/2018 12:37:53 AM,02/02/2018 12:40:51 AM,null,null,Fire,02/02/2018 12:42:21 AM,1000 Block of POLK ST,San Francisco,94109,B04,03,3121,3,3,3,false,Alarm,1,CHIEF,3,4,6,Tenderloin,POINT (-122.419812186232 37.786601951279),180330084-B04
192910130,RC4,19125175,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:11:51 AM,10/18/2019 01:12:53 AM,10/18/2019 01:13:09 AM,10/18/2019 01:15:52 AM,null,null,null,Cancelled,10/18/2019 01:16:49 AM,400 Block of MONTEREY BLVD,San Francisco,94112,B09,15,8221,E,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,4,9,7,West of Twin Peaks,POINT (-122.44544412061042 37.73146035984968),192910130-RC4
192910130,T15,19125175,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:11:51 AM,10/18/2019 01:12:53 AM,10/18/2019 01:13:09 AM,10/18/2019 01:14:45 AM,null,null,null,Cancelled,10/18/2019 01:16:54 AM,400 Block of MONTEREY BLVD,San Francisco,94112,B09,15,8221,E,E,3,false,Potentially Life-Threatening,1,TRUCK,3,9,7,West of Twin Peaks,POINT (-122.44544412061042 37.73146035984968),192910130-T15
192910133,KM07,19125176,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:12:48 AM,10/18/2019 01:15:17 AM,10/18/2019 01:16:02 AM,10/18/2019 01:16:26 AM,10/18/2019 01:25:15 AM,10/18/2019 01:30:57 AM,10/18/2019 01:41:34 AM,Code 2 Transport,10/18/2019 01:55:11 AM,800 Block of BUENA VISTA AVE,San Francisco,94117,B05,21,4354,2,2,2,false,Non Life-threatening,1,PRIVATE,1,5,8,Haight Ashbury,POINT (-122.44261080627477 37.76930363659742),192910133-KM07
192910154,AM124,19125177,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:32:06 AM,10/18/2019 01:33:50 AM,10/18/2019 01:33:59 AM,10/18/2019 01:34:34 AM,10/18/2019 01:40:40 AM,10/18/2019 01:48:23 AM,10/18/2019 02:07:26 AM,Code 2 Transport,10/18/2019 02:37:56 AM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,3,8,4,Sunset/Parkside,POINT (-122.49426738312347 37.763749160709786),192910154-AM124
192910154,E18,19125177,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:32:06 AM,10/18/2019 01:33:50 AM,10/18/2019 01:33:59 AM,10/18/2019 01:39:01 AM,10/18/2019 01:39:36 AM,null,null,Code 2 Transport,10/18/2019 01:52:51 AM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,8,4,Sunset/Parkside,POINT (-122.49426738312347 37.763749160709786),192910154-E18
192910154,E23,19125177,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:32:06 AM,10/18/2019 01:33:50 AM,10/18/2019 01:33:59 AM,10/18/2019 01:36:00 AM,10/18/2019 01:38:33 AM,null,null,Code 2 Transport,10/18/2019 01:51:40 AM,1200 Block of 35TH AV,San Francisco,94122,B08,23,7564,3,3,3,false,Potentially Life-Threatening,1,ENGINE,1,8,4,Sunset/Parkside,POINT (-122.49426738312347 37.763749160709786),192910154-E23
192910159,74,19125178,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:35:16 AM,10/18/2019 01:38:09 AM,10/18/2019 01:38:17 AM,10/18/2019 01:38:26 AM,10/18/2019 01:51:35 AM,10/18/2019 02:03:52 AM,10/18/2019 02:13:27 AM,Code 2 Transport,10/18/2019 02:48:17 AM,1700 Block of 30TH AV,San Francisco,94122,B08,18,7534,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,8,4,Sunset/Parkside,POINT (-122.48825585753465 37.75465733045332),192910159-74
192910159,T18,19125178,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:35:16 AM,10/18/2019 01:38:09 AM,10/18/2019 01:38:17 AM,10/18/2019 01:39:49 AM,10/18/2019 01:42:58 AM,null,null,Code 2 Transport,10/18/2019 01:59:46 AM,1700 Block of 30TH AV,San Francisco,94122,B08,18,7534,3,3,3,false,Potentially Life-Threatening,1,TRUCK,1,8,4,Sunset/Parkside,POINT (-122.48825585753465 37.75465733045332),192910159-T18
192910164,95,19125180,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:37:14 AM,10/18/2019 01:39:56 AM,10/18/2019 01:40:02 AM,10/18/2019 01:40:20 AM,10/18/2019 01:45:06 AM,null,null,Patient Declined Transport,10/18/2019 02:18:37 AM,2400 Block of MARIPOSA ST,San Francisco,94110,B02,29,5243,3,3,3,true,Non Life-threatening,1,MEDIC,1,2,10,Potrero Hill,POINT (-122.40780957637892 37.76320953755439),192910164-95
192910164,E29,19125180,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:37:14 AM,10/18/2019 01:39:56 AM,10/18/2019 01:40:02 AM,10/18/2019 01:41:44 AM,null,null,null,Patient Declined Transport,10/18/2019 01:48:48 AM,2400 Block of MARIPOSA ST,San Francisco,94110,B02,29,5243,3,3,3,true,Non Life-threatening,1,ENGINE,2,2,10,Potrero Hill,POINT (-122.40780957637892 37.76320953755439),192910164-E29
192910183,75,19125181,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:58:38 AM,10/18/2019 01:58:38 AM,10/18/2019 01:59:01 AM,10/18/2019 01:59:11 AM,10/18/2019 02:05:11 AM,10/18/2019 02:35:54 AM,10/18/2019 02:44:18 AM,Code 2 Transport,10/18/2019 03:02:14 AM,400 Block of MONTEREY BLVD,San Francisco,94112,B09,15,8221,E,3,3,true,Potentially Life-Threatening,1,MEDIC,2,9,7,West of Twin Peaks,POINT (-122.44544412061042 37.73146035984968),192910183-75
192910183,E15,19125181,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:58:38 AM,10/18/2019 01:58:38 AM,10/18/2019 01:59:01 AM,10/18/2019 02:03:19 AM,10/18/2019 02:03:54 AM,null,null,Code 2 Transport,10/18/2019 02:13:33 AM,400 Block of MONTEREY BLVD,San Francisco,94112,B09,15,8221,E,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,7,West of Twin Peaks,POINT (-122.44544412061042 37.73146035984968),192910183-E15
192910183,RC3,19125181,Medical Incident,2019-10-18,2019-10-17,10/18/2019 01:58:38 AM,10/18/2019 01:58:38 AM,10/18/2019 01:59:01 AM,10/18/2019 02:05:41 AM,null,null,null,Code 2 Transport,10/18/2019 02:12:27 AM,400 Block of MONTEREY BLVD,San Francisco,94112,B09,15,8221,E,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,3,9,7,West of Twin Peaks,POINT (-122.44544412061042 37.73146035984968),192910183-RC3
192910188,94,19125182,Medical Incident,2019-10-18,2019-10-17,10/18/2019 02:02:01 AM,10/18/2019 02:04:25 AM,10/18/2019 02:04:49 AM,10/18/2019 02:04:54 AM,10/18/2019 02:15:51 AM,null,null,No Merit,10/18/2019 02:20:56 AM,1900 Block of HYDE ST,San Francisco,94109,B01,41,1611,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,1,3,Russian Hill,POINT (-122.4189586371411 37.798406283391174),192910188-94
192910195,67,19125183,Medical Incident,2019-10-18,2019-10-17,10/18/2019 02:13:15 AM,10/18/2019 02:13:15 AM,10/18/2019 02:13:37 AM,10/18/2019 02:13:46 AM,10/18/2019 02:24:25 AM,null,null,Patient Declined Transport,10/18/2019 03:00:20 AM,GREEN ST/COLUMBUS AV,San Francisco,94133,B01,28,1266,B,2,2,true,Non Life-threatening,1,MEDIC,1,1,3,Chinatown,POINT (-122.40901437954005 37.79948981877053),192910195-67
171923679,AP,17081045,Other,2017-07-11,2017-07-11,07/11/2017 08:43:18 PM,07/11/2017 08:43:18 PM,07/11/2017 08:43:18 PM,07/11/2017 08:43:18 PM,07/11/2017 08:43:18 PM,null,null,Fire,07/11/2017 08:43:18 PM,CALL BOX: SF INTERNATIONAL AIRPORT,null,null,B09,44,6913,3,3,3,false,Alarm,1,AIRPORT,1,None,None,None,POINT (-122.384094238098 37.616882323925),171923679-AP
172234515,T03,17093471,Medical Incident,2017-08-11,2017-08-11,08/11/2017 11:11:31 PM,08/11/2017 11:11:31 PM,08/11/2017 11:11:57 PM,08/11/2017 11:15:08 PM,null,null,null,Cancelled,08/11/2017 11:15:31 PM,400 Block of ELLIS ST,San Francisco,94102,B03,03,1461,A,E,3,false,Potentially Life-Threatening,1,TRUCK,4,2,6,Tenderloin,POINT (-122.413615438263 37.784807388677),172234515-T03
172440383,E01,17101748,Medical Incident,2017-09-01,2017-08-31,09/01/2017 04:37:19 AM,09/01/2017 04:38:31 AM,09/01/2017 04:38:52 AM,09/01/2017 04:40:57 AM,09/01/2017 04:44:23 AM,null,null,Code 2 Transport,09/01/2017 04:56:09 AM,MISSION ST/8TH ST,San Francisco,94103,B02,01,2318,E,E,3,true,Potentially Life-Threatening,1,ENGINE,2,2,6,South of Market,POINT (-122.413157691577 37.777457419949),172440383-E01
172242385,KM08,17093703,Medical Incident,2017-08-12,2017-08-12,08/12/2017 03:59:33 PM,08/12/2017 04:00:33 PM,08/12/2017 04:00:55 PM,08/12/2017 04:02:24 PM,08/12/2017 04:05:08 PM,null,null,Medical Examiner,08/12/2017 04:59:51 PM,1300 Block of BUSH ST,San Francisco,94109,B04,03,1636,3,E,3,false,Potentially Life-Threatening,1,PRIVATE,3,4,3,Nob Hill,POINT (-122.419492361507 37.788858561818),172242385-KM08
192910198,58,19125184,Medical Incident,2019-10-18,2019-10-17,10/18/2019 02:13:26 AM,10/18/2019 02:15:48 AM,10/18/2019 02:16:04 AM,10/18/2019 02:16:17 AM,10/18/2019 02:34:56 AM,null,null,Unable to Locate,10/18/2019 02:36:23 AM,12TH AV/IRVING ST,San Francisco,94122,B08,22,7346,2,2,2,true,Non Life-threatening,1,MEDIC,1,8,5,Inner Sunset,POINT (-122.46952196338182 37.76389594548095),192910198-58
192910201,E26,19125185,Other,2019-10-18,2019-10-17,10/18/2019 02:18:14 AM,10/18/2019 02:20:02 AM,10/18/2019 02:20:13 AM,10/18/2019 02:22:33 AM,10/18/2019 02:24:47 AM,null,null,Fire,10/18/2019 02:51:25 AM,5100 Block of DIAMOND HEIGHTS BLVD,San Francisco,94131,B06,26,8163,3,3,3,true,Alarm,1,ENGINE,1,6,8,Noe Valley,POINT (-122.44007828523043 37.74581656687657),192910201-E26
192910203,73,19125186,Medical Incident,2019-10-18,2019-10-17,10/18/2019 02:19:11 AM,10/18/2019 02:20:34 AM,10/18/2019 02:20:44 AM,10/18/2019 02:20:48 AM,10/18/2019 02:26:36 AM,10/18/2019 02:50:42 AM,10/18/2019 02:58:59 AM,Code 2 Transport,10/18/2019 03:43:21 AM,800 Block of VALENCIA ST,San Francisco,94110,B06,07,5434,3,3,3,true,Non Life-threatening,1,MEDIC,2,6,8,Mission,POINT (-122.42138255977272 37.75893131818329),192910203-73
192910203,E07,19125186,Medical Incident,2019-10-18,2019-10-17,10/18/2019 02:19:11 AM,10/18/2019 02:20:34 AM,10/18/2019 02:20:44 AM,10/18/2019 02:22:13 AM,10/18/2019 02:23:58 AM,null,null,Code 2 Transport,10/18/2019 02:35:38 AM,800 Block of VALENCIA ST,San Francisco,94110,B06,07,5434,3,3,3,true,Non Life-threatening,1,ENGINE,1,6,8,Mission,POINT (-122.42138255977272 37.75893131818329),192910203-E07
192910205,E01,19125187,Structure Fire,2019-10-18,2019-10-17,10/18/2019 02:23:36 AM,10/18/2019 02:23:36 AM,10/18/2019 02:23:42 AM,10/18/2019 02:24:56 AM,10/18/2019 02:28:08 AM,null,null,Fire,10/18/2019 02:28:16 AM,3RD ST/MISSION ST,San Francisco,94103,B03,01,2178,3,3,3,true,Alarm,1,ENGINE,1,3,6,Financial District/South Beach,POINT (-122.40202542088782 37.78624815087175),192910205-E01
192910210,54,19125188,Medical Incident,2019-10-18,2019-10-17,10/18/2019 02:24:36 AM,10/18/2019 02:26:40 AM,10/18/2019 02:26:53 AM,10/18/2019 02:27:07 AM,10/18/2019 02:34:23 AM,10/18/2019 03:00:30 AM,10/18/2019 03:12:09 AM,Code 2 Transport,10/18/2019 03:40:50 AM,100 Block of EDDY ST,San Francisco,94102,B03,03,1453,2,2,2,true,Non Life-threatening,1,MEDIC,1,3,6,Tenderloin,POINT (-122.41014131985163 37.7842993825154),192910210-54
192910214,95,19125189,Medical Incident,2019-10-18,2019-10-17,10/18/2019 02:29:42 AM,10/18/2019 02:29:42 AM,10/18/2019 02:29:54 AM,10/18/2019 02:30:05 AM,10/18/2019 02:44:25 AM,10/18/2019 03:00:49 AM,10/18/2019 03:19:04 AM,Code 2 Transport,10/18/2019 03:58:37 AM,2700 Block of MISSION ST,San Francisco,94110,B06,11,5525,B,2,2,true,Non Life-threatening,1,MEDIC,1,6,9,Mission,POINT (-122.41845061798227 37.753042070749665),192910214-95
192910219,B01,19125190,Alarms,2019-10-18,2019-10-17,10/18/2019 02:33:01 AM,10/18/2019 02:34:17 AM,10/18/2019 02:34:27 AM,10/18/2019 02:36:58 AM,10/18/2019 02:39:39 AM,null,null,Fire,10/18/2019 02:46:21 AM,700 Block of MONTGOMERY ST,San Francisco,94111,B01,13,1232,3,3,3,false,Alarm,1,CHIEF,3,1,3,Chinatown,POINT (-122.40333849035508 37.795983392450175),192910219-B01
192910219,E13,19125190,Alarms,2019-10-18,2019-10-17,10/18/2019 02:33:01 AM,10/18/2019 02:34:17 AM,10/18/2019 02:34:27 AM,10/18/2019 02:37:37 AM,10/18/2019 02:38:34 AM,null,null,Fire,10/18/2019 02:47:27 AM,700 Block of MONTGOMERY ST,San Francisco,94111,B01,13,1232,3,3,3,true,Alarm,1,ENGINE,1,1,3,Chinatown,POINT (-122.40333849035508 37.795983392450175),192910219-E13
192910219,T13,19125190,Alarms,2019-10-18,2019-10-17,10/18/2019 02:33:01 AM,10/18/2019 02:34:17 AM,10/18/2019 02:34:27 AM,10/18/2019 02:37:14 AM,10/18/2019 02:38:54 AM,null,null,Fire,10/18/2019 02:46:36 AM,700 Block of MONTGOMERY ST,San Francisco,94111,B01,13,1232,3,3,3,false,Alarm,1,TRUCK,2,1,3,Chinatown,POINT (-122.40333849035508 37.795983392450175),192910219-T13
192910220,70,19125191,Medical Incident,2019-10-18,2019-10-17,10/18/2019 02:34:57 AM,10/18/2019 02:35:30 AM,10/18/2019 02:36:05 AM,10/18/2019 02:36:12 AM,10/18/2019 02:39:47 AM,10/18/2019 02:55:24 AM,10/18/2019 03:09:09 AM,Code 2 Transport,10/18/2019 03:44:03 AM,400 Block of TURK ST,San Francisco,94102,B02,03,1554,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,2,6,Tenderloin,POINT (-122.41632744176792 37.78244849821827),192910220-70
192910220,E03,19125191,Medical Incident,2019-10-18,2019-10-17,10/18/2019 02:34:57 AM,10/18/2019 02:35:30 AM,10/18/2019 02:36:05 AM,10/18/2019 02:37:32 AM,null,null,null,Code 2 Transport,10/18/2019 02:41:36 AM,400 Block of TURK ST,San Francisco,94102,B02,03,1554,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,2,6,Tenderloin,POINT (-122.41632744176792 37.78244849821827),192910220-E03
192910222,58,19125192,Medical Incident,2019-10-18,2019-10-17,10/18/2019 02:33:45 AM,10/18/2019 02:35:51 AM,10/18/2019 02:36:35 AM,10/18/2019 02:36:47 AM,10/18/2019 02:48:52 AM,10/18/2019 02:59:35 AM,10/18/2019 03:17:00 AM,Code 2 Transport,10/18/2019 03:52:19 AM,100 Block of GONZALEZ DR,San Francisco,94132,B08,19,8425,2,2,2,true,Non Life-threatening,1,MEDIC,1,8,7,Lakeshore,POINT (-122.47538195046769 37.71856859249497),192910222-58
172454302,T10,17103215,Water Rescue,2017-09-02,2017-09-02,09/02/2017 10:14:30 PM,09/02/2017 10:14:30 PM,09/02/2017 10:16:09 PM,null,null,null,null,Code 3 Transport,09/02/2017 10:18:05 PM,CALL BOX:,San Francisco,94123,B04,51,4215,A,3,3,true,Fire,1,TRUCK,10,7,2,Marina,POINT (-122.448395782098 37.806192679605),172454302-T10
172450569,T05,17102547,Alarms,2017-09-02,2017-09-01,09/02/2017 04:30:09 AM,09/02/2017 04:32:02 AM,09/02/2017 04:36:54 AM,09/02/2017 04:36:54 AM,null,null,null,Fire,09/02/2017 04:37:20 AM,2400 Block of VALLEJO ST,San Francisco,94123,B04,16,3654,3,3,3,true,Alarm,1,TRUCK,5,4,2,Pacific Heights,POINT (-122.437570762125 37.794857267252),172450569-T05
172510017,T02,17105599,Alarms,2017-09-08,2017-09-07,09/08/2017 12:04:49 AM,09/08/2017 12:05:53 AM,09/08/2017 12:05:59 AM,09/08/2017 12:08:52 AM,09/08/2017 12:11:17 AM,null,null,Fire,09/08/2017 12:31:09 AM,400 Block of JEFFERSON ST,San Francisco,94109,B01,28,1524,3,3,3,false,Alarm,1,TRUCK,2,1,2,Russian Hill,POINT (-122.419903598279 37.807642394345),172510017-T02
